index,price,brand,model,year,title_status,mileage,color,vin
599,13500,buick,encore,2016,clean vehicle,19655,red,  kl4cjbsb4gb700424
600,27102,ford,f-150,2019,clean vehicle,19100,white,  1ftew1e53kfb37982
601,27102,ford,f-150,2019,clean vehicle,20014,white,  1ftew1e54kfa00453
602,25811,ford,f-150,2019,clean vehicle,21774,black,  1ftew1e59kfb37887
603,26602,ford,f-150,2019,clean vehicle,21201,white,  1ftew1e59kfb69755
604,27102,ford,f-150,2019,clean vehicle,21766,white,  1ftew1e49kfb96784
605,37500,buick,enclave,2019,clean vehicle,12406,gray,  5gaevbkw8kj293388
606,26211,ford,flex,2019,clean vehicle,17977,blue,  2fmhk6dt1kba21554
607,24205,ford,flex,2019,clean vehicle,22805,silver,  2fmhk6d80kba19788
608,37500,cadillac,xt5,2019,clean vehicle,16013,black,  1gyknfrs3kz252626
609,27111,ford,flex,2019,clean vehicle,14382,black,  2fmhk6dt2kba21630
610,27411,ford,flex,2019,clean vehicle,9660,black,  2fmhk6dt1kba21571
611,27302,ford,flex,2019,clean vehicle,18969,black,  2fmhk6dt2kba19683
612,27202,ford,f-150,2019,clean vehicle,24730,gray,  1ftew1ep2kfb70022
613,26311,ford,flex,2019,clean vehicle,15847,red,  2fmhk6dt5kba19693
614,26602,ford,f-150,2019,clean vehicle,25009,white,  1ftew1e55kfb51169
615,33500,bmw,series,2017,clean vehicle,22115,blue,  wbaja7c31hg905802
616,27511,ford,flex,2019,clean vehicle,11836,white,  2fmhk6dt7kba19548
617,21500,buick,door,2017,clean vehicle,23765,red,  1g4zp5ss5hu137398
618,27200,ford,f-150,2019,clean vehicle,25508,silver,  1ftfw1e40kfb69655
619,26511,ford,flex,2019,clean vehicle,18196,red,  2fmhk6dt9kba19695
620,24002,ford,flex,2019,clean vehicle,16106,gray,  2fmhk6c81kba19848
621,21500,buick,door,2017,clean vehicle,14907,silver,  1g4zp5ss6hu125437
622,18511,ford,fusion,2019,clean vehicle,12735,gray,  3fa6p0ru0kr211641
623,14000,kia,sorento,2017,clean vehicle,53424,black,  5xypgda51hg221253
624,29000,buick,door,2017,clean vehicle,17940,green,  5gakvckd5hj216221
625,23402,ford,flex,2019,clean vehicle,17417,gray,  2fmhk6c88kba19846
626,13300,kia,door,2017,clean vehicle,37125,no_color,  5xypgda39hg262132
627,19700,bmw,x3,2017,clean vehicle,61428,black,  5uxwx9c51h0t09021
